Open Time,Open,High,Low,Close,Volume
2022-10-05 04:00:00,20185.00,20290.00,20071.10,20218.90,70202.850
2022-10-05 08:00:00,20218.80,20236.90,19953.00,20026.10,108903.501
2022-10-05 12:00:00,20026.10,20066.00,19707.00,19994.60,218781.293
2022-10-05 16:00:00,19994.60,20350.00,19946.00,20112.50,184262.388
2022-10-05 20:00:00,20112.50,20205.80,19964.30,20150.00,78589.282
2022-10-06 00:00:00,20149.90,20436.00,20134.60,20346.60,121380.742
2022-10-06 04:00:00,20346.60,20443.90,20154.00,20214.70,103246.762
2022-10-06 08:00:00,20214.70,20252.40,20077.10,20238.00,91881.924
2022-10-06 12:00:00,20238.00,20322.00,19867.50,20004.40,278377.510
2022-10-06 16:00:00,20004.30,20264.10,19934.00,20005.90,117930.634
2022-10-06 20:00:00,20005.90,20069.00,19843.30,19954.00,69217.097
2022-10-07 00:00:00,19954.00,20046.00,19936.90,19976.00,41357.938
2022-10-07 04:00:00,19976.10,20004.30,19800.00,19916.80,70255.047
2022-10-07 08:00:00,19916.70,20017.70,19905.60,19990.30,56677.553
2022-10-07 12:00:00,19990.30,20067.00,19454.20,19574.10,322420.732
2022-10-07 16:00:00,19574.10,19599.70,19304.40,19453.00,127856.845
2022-10-07 20:00:00,19453.10,19635.70,19433.70,19520.90,54838.987
2022-10-08 00:00:00,19520.90,19619.60,19478.00,19494.50,35208.781
2022-10-08 04:00:00,19494.50,19537.20,19416.30,19489.80,37563.653
2022-10-08 08:00:00,19489.80,19539.30,19441.10,19526.30,32793.206
2022-10-08 12:00:00,19526.40,19532.60,19411.00,19480.00,38154.428
2022-10-08 16:00:00,19479.90,19522.80,19430.00,19460.10,31323.042
2022-10-08 20:00:00,19460.00,19473.90,19200.00,19406.20,78214.091
2022-10-09 00:00:00,19406.30,19444.20,19320.40,19357.90,33291.778
2022-10-09 04:00:00,19358.00,19429.00,19310.00,19398.20,33760.768
2022-10-09 08:00:00,19398.30,19550.00,19365.00,19461.00,60965.687
2022-10-09 12:00:00,19460.90,19538.30,19452.70,19524.50,43892.201
2022-10-09 16:00:00,19524.50,19543.00,19333.00,19459.80,52917.495
2022-10-09 20:00:00,19459.90,19493.90,19359.30,19430.00,42350.866
2022-10-10 00:00:00,19430.00,19513.00,19390.00,19441.20,44385.314
2022-10-10 04:00:00,19441.10,19467.30,19361.00,19401.30,41189.061
2022-10-10 08:00:00,19401.30,19409.00,19113.70,19323.20,148874.515
2022-10-10 12:00:00,19323.30,19430.00,19214.00,19261.70,125651.743
2022-10-10 16:00:00,19261.70,19355.50,19100.00,19204.90,133824.422
2022-10-10 20:00:00,19205.00,19279.90,19000.00,19124.00,66995.849
2022-10-11 00:00:00,19124.10,19125.70,18935.70,19039.70,107038.240
2022-10-11 04:00:00,19039.60,19114.60,19005.00,19075.10,62329.442
2022-10-11 08:00:00,19075.10,19157.30,19025.00,19149.90,63209.053
2022-10-11 12:00:00,19149.90,19260.00,18850.00,19137.60,229953.540
2022-10-11 16:00:00,19137.60,19175.70,18910.30,18991.30,106552.116
2022-10-11 20:00:00,18991.30,19059.50,18982.30,19055.00,34275.933
2022-10-12 00:00:00,19055.00,19122.40,19019.80,19041.50,46045.411
2022-10-12 04:00:00,19041.50,19193.90,19037.60,19103.40,63730.827
2022-10-12 08:00:00,19103.40,19190.00,19081.30,19107.20,52907.926
2022-10-12 12:00:00,19107.20,19179.90,18924.30,19130.50,141098.260
2022-10-12 16:00:00,19130.60,19170.00,19030.60,19132.30,64084.028
2022-10-12 20:00:00,19132.30,19240.00,19122.40,19148.00,38903.836
2022-10-13 00:00:00,19148.10,19166.70,19010.00,19080.70,47757.577
2022-10-13 04:00:00,19080.70,19105.00,18945.00,19000.10,66592.964
2022-10-13 08:00:00,19000.00,19034.80,18550.00,18744.90,189234.962
2022-10-13 12:00:00,18745.00,19043.70,17917.80,18947.70,478454.750
2022-10-13 16:00:00,18947.70,19498.60,18892.80,19360.90,250946.963
2022-10-13 20:00:00,19360.90,19488.00,19320.00,19365.50,71627.785
2022-10-14 00:00:00,19365.40,19947.90,19330.10,19806.30,174440.622
2022-10-14 04:00:00,19806.20,19843.30,19560.50,19633.20,102892.090
2022-10-14 08:00:00,19633.20,19738.80,19520.00,19588.30,109831.582
2022-10-14 12:00:00,19588.40,19843.50,19300.00,19352.90,270952.058
2022-10-14 16:00:00,19352.90,19395.00,19096.50,19160.00,152580.485
2022-10-14 20:00:00,19160.10,19209.70,19059.60,19164.60,50756.373
2022-10-15 00:00:00,19164.60,19218.80,19125.90,19190.70,30928.603
2022-10-15 04:00:00,19190.70,19199.60,19120.20,19159.00,22708.939
2022-10-15 08:00:00,19159.10,19176.90,19027.30,19160.80,61591.647
2022-10-15 12:00:00,19160.80,19188.00,19080.70,19119.50,45159.734
2022-10-15 16:00:00,19119.50,19154.90,19045.00,19091.90,30572.858
2022-10-15 20:00:00,19091.90,19122.30,18966.00,19060.40,50558.404
2022-10-16 00:00:00,19060.40,19159.70,19058.00,19111.40,27654.674
2022-10-16 04:00:00,19111.40,19150.00,19101.00,19124.20,19381.039
2022-10-16 08:00:00,19124.10,19188.00,19080.00,19136.70,38237.868
2022-10-16 12:00:00,19136.70,19168.60,19095.50,19148.60,28377.813
2022-10-16 16:00:00,19148.70,19376.80,19108.40,19369.90,55795.802
2022-10-16 20:00:00,19369.80,19415.90,19092.00,19251.90,98473.996
2022-10-17 00:00:00,19251.80,19296.60,19148.00,19178.40,38443.768
2022-10-17 04:00:00,19178.30,19311.60,19156.00,19285.00,47855.009
2022-10-17 08:00:00,19285.00,19541.10,19237.00,19452.80,112876.410
2022-10-17 12:00:00,19452.80,19666.00,19414.50,19524.50,181721.274
2022-10-17 16:00:00,19524.40,19580.00,19430.40,19519.30,69640.272
2022-10-17 20:00:00,19519.30,19618.90,19463.00,19540.60,51783.026
2022-10-18 00:00:00,19540.70,19613.00,19475.90,19539.90,51391.637
2022-10-18 04:00:00,19539.90,19706.40,19524.50,19655.80,81734.350
2022-10-18 08:00:00,19655.80,19663.00,19457.50,19555.80,88688.122
2022-10-18 12:00:00,19555.70,19674.00,19275.00,19364.10,187486.665
2022-10-18 16:00:00,19364.10,19434.40,19081.00,19209.60,137666.952
2022-10-18 20:00:00,19209.60,19425.90,19190.00,19320.90,87375.428
2022-10-19 00:00:00,19320.90,19349.80,19210.00,19276.00,41315.246
